,LogFile,Scan,Scanner,Software,Voxelsize,Voxelsize_rounded,Source,Camera,Voltage,Current,Filter,Stacks,NumProj,CamSize,RotationStep,Wide,ThreeSixty,RingRemoval,Beamhardening,GrayValueMax,Exposure,Averaging,Duration,Version
0,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/ko03/rec/ko03_rec.log,ko03,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2208.0,"('NRecon', '2.0.0.5')"
1,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/ko04/rec/ko04_rec.log,ko04,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2207.0,"('NRecon', '2.0.0.5')"
2,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/wt01/rec/wt01_rec.log,wt01,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2209.0,"('NRecon', '2.0.0.5')"
3,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/ko05/rec/ko05_rec.log,ko05,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2206.0,"('NRecon', '2.0.0.5')"
4,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/wt02/rec/wt02_rec.log,wt02,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2210.0,"('NRecon', '2.0.0.5')"
5,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/wt03/rec/wt03_rec.log,wt03,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2206.0,"('NRecon', '2.0.0.5')"
6,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/wt04/rec/wt04_rec.log,wt04,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2209.0,"('NRecon', '2.0.0.5')"
7,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/ko01/rec/ko01_rec.log,ko01,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2206.0,"('NRecon', '2.0.0.5')"
8,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/wt05/rec/wt05_rec.log,wt05,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2213.0,"('NRecon', '2.0.0.5')"
9,/home/habi/research-storage-uct/Archiv_Tape/Zebrafish_Carolina_Muscles/ko02/rec/ko02_rec.log,ko02,SkyScan 1272,1.1.19,7.99995,8.0,Hamamatsu L11871_20,XIMEA xiRAY16,70.0,142.0,Al 0.5mm,5,482,"(1632, 1092)",0.4,False,NO,7,0,0.15,862,3,2209.0,"('NRecon', '2.0.0.5')"
